category,authorLocation,requiredFunding,targetAudience,success
infrastructure,suburban,148594,patients parents parents,1
infrastructure,rural,184326,farmers youth teachers patients teachers teachers smes teachers commuters farmers youth farmers teachers parents smes teachers seniors tourists seniors youth commuters developers parents developers teachers farmers seniors teachers smes smes,1
healthcare,unknown,282847,patients youth patients teachers youth teachers developers tourists patients parents,0
technology,unknown,89370,developers farmers farmers seniors tourists parents patients smes smes parents farmers youth patients seniors teachers seniors teachers teachers farmers tourists,1
other,inland,99352,developers teachers smes youth tourists teachers smes parents smes commuters tourists patients smes patients patients youth youth teachers youth youth,1
agriculture,inland,49762,youth commuters smes patients smes seniors developers smes youth commuters developers smes teachers seniors patients patients tourists farmers youth smes,1
healthcare,rural,160160,patients patients patients teachers teachers farmers farmers youth farmers teachers,1
education,rural,64128,patients teachers seniors farmers seniors tourists parents patients parents smes teachers seniors smes seniors smes youth youth teachers youth seniors commuters commuters seniors farmers patients commuters commuters smes patients commuters,1
other,inland,121807,parents commuters parents,1
technology,coastal,70698,smes developers seniors,1
technology,inland,18201,tourists parents parents patients teachers smes developers smes commuters smes,1
education,suburban,74446,tourists farmers tourists seniors commuters commuters smes smes teachers developers youth farmers tourists tourists parents commuters parents developers teachers developers developers smes youth tourists smes youth patients seniors patients parents,1
healthcare,urban,145003,developers patients tourists seniors developers commuters seniors patients smes seniors seniors patients parents patients tourists patients smes farmers teachers parents developers youth farmers youth tourists patients teachers commuters youth commuters,1
technology,unknown,298482,youth commuters smes farmers parents developers patients tourists parents tourists patients developers teachers developers youth patients farmers parents smes parents,1
healthcare,unknown,196240,commuters seniors patients farmers commuters smes smes commuters commuters smes teachers tourists farmers developers tourists tourists teachers teachers youth patients,1
agriculture,suburban,64100,parents smes commuters tourists commuters farmers farmers teachers tourists patients,1
education,rural,106622,teachers tourists commuters youth seniors developers parents patients patients tourists,1
technology,suburban,89680,tourists youth teachers teachers patients patients teachers teachers youth tourists commuters smes tourists smes seniors farmers tourists youth farmers youth parents farmers tourists parents tourists developers teachers youth seniors parents,1
education,unknown,200931,parents developers teachers,0
education,rural,58646,developers seniors farmers developers smes tourists seniors seniors patients developers smes developers farmers developers seniors youth seniors commuters youth farmers seniors developers developers parents farmers teachers youth teachers parents developers,1
education,suburban,111353,parents developers farmers patients tourists youth commuters teachers parents tourists,1
agriculture,coastal,231242,smes tourists youth patients patients teachers teachers youth tourists youth developers patients youth patients smes developers farmers teachers smes farmers,1
infrastructure,inland,182758,developers patients smes parents developers youth commuters parents parents patients youth commuters farmers tourists parents youth smes patients seniors smes youth parents tourists commuters patients farmers seniors farmers patients youth,1
education,inland,132516,patients commuters commuters patients patients developers seniors farmers commuters parents developers parents commuters youth commuters smes commuters parents teachers commuters,1
agriculture,inland,159298,farmers seniors teachers,1
education,coastal,150462,teachers smes youth,1
infrastructure,rural,146506,farmers seniors tourists patients parents teachers tourists seniors parents teachers developers teachers seniors patients teachers parents smes tourists seniors tourists,1
agriculture,urban,249646,parents farmers youth,1
agriculture,unknown,75993,tourists tourists parents parents tourists smes developers farmers patients developers youth tourists youth patients developers parents teachers patients teachers developers,1
other,suburban,153981,farmers smes seniors smes smes farmers parents patients tourists patients,1
other,inland,249840,teachers tourists farmers youth patients smes parents seniors youth farmers seniors teachers developers youth smes teachers developers tourists commuters smes,0
technology,urban,220179,commuters youth seniors parents parents seniors tourists commuters developers commuters smes seniors youth tourists farmers patients youth commuters smes developers parents parents tourists farmers tourists patients seniors patients youth developers,1
healthcare,rural,157040,commuters patients developers commuters patients tourists developers patients commuters commuters,1
healthcare,coastal,195422,tourists patients patients,1
other,suburban,134177,smes developers developers,1
technology,inland,219304,farmers parents parents,1
healthcare,suburban,293163,youth developers developers parents teachers youth commuters seniors commuters youth patients farmers commuters commuters parents teachers tourists patients commuters youth,1
agriculture,unknown,199113,youth commuters commuters seniors farmers farmers farmers farmers smes developers teachers farmers commuters smes commuters seniors teachers farmers commuters commuters teachers seniors smes teachers youth commuters patients patients patients smes,1
education,coastal,295023,seniors parents teachers,0
other,unknown,108831,youth developers commuters commuters youth tourists smes teachers smes parents parents youth parents youth commuters patients tourists smes parents seniors farmers farmers smes parents seniors youth youth smes parents smes,1
education,suburban,68459,commuters developers parents teachers developers seniors patients farmers commuters commuters smes smes tourists seniors parents smes tourists commuters seniors commuters,1
healthcare,suburban,69243,parents commuters teachers parents commuters smes commuters farmers teachers teachers patients smes teachers commuters tourists farmers teachers seniors tourists youth,1
agriculture,rural,99229,teachers teachers seniors youth seniors smes teachers farmers parents seniors patients teachers parents patients tourists seniors seniors farmers tourists developers seniors seniors teachers smes farmers smes seniors teachers developers parents,1
infrastructure,unknown,55229,developers seniors farmers commuters teachers developers seniors smes commuters commuters seniors smes developers seniors tourists teachers tourists tourists parents teachers,1
other,unknown,76911,smes developers commuters smes teachers smes commuters parents commuters youth developers youth developers tourists commuters commuters parents teachers farmers teachers farmers tourists teachers developers commuters seniors smes parents seniors tourists,1
other,rural,6553,farmers teachers teachers parents seniors farmers smes teachers parents patients farmers seniors smes commuters youth teachers youth patients youth teachers,1
other,urban,150171,smes youth farmers,1
healthcare,urban,80505,parents farmers teachers seniors parents seniors parents farmers youth tourists patients patients developers commuters developers seniors developers teachers tourists tourists,1
infrastructure,rural,77457,patients tourists tourists,1
technology,inland,163877,tourists farmers tourists youth seniors farmers commuters commuters patients parents seniors smes teachers patients smes youth parents commuters patients farmers,1
